run,sample,treatment,CpGs_10x_nodedup,CpGs_10x_dedup,CpGs_10x_both,correlation,mean_abs_diff_pct
SRR6995995,NB11,control,742073,436443,436443,0.989,3.6
SRR6995997,NB3,control,240688,144312,144312,0.987,3.35
SRR6995998,NB6,control,552824,260092,260092,0.992,3.1
SRR6995993,HB16,oil,615612,350145,350145,0.989,3.56
SRR6995996,HB2,oil,597337,346098,346098,0.986,3.76
SRR6995994,HB30,oil,44511,14350,14350,0.954,4.5
