Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR6995993 - illumina_universal_adapter	(1, 0.000477621046452957)	(2, 0.0006212956701827083)	(3, 0.0006950745310169049)	(4, 0.0007649702939124596)	(5, 0.0009358266032127043)	(6, 0.0011649293815925782)	(7, 0.0014639279228680065)	(8, 0.002054158809541579)	(9, 0.00221724892296454)	(10, 0.0039025134283351367)	(12, 0.007276925537014971)	(14, 0.01336174000686687)	(16, 0.016580828198001028)	(18, 0.017891373752292678)	(20, 0.0193009383040197)	(22, 0.025143059152706475)	(24, 0.036551600896436456)	(26, 0.040512360793851225)	(28, 0.04207919081209324)	(30, 0.0436033067530102)	(32, 0.04572541977647801)	(34, 0.047769870841172984)	(36, 0.05027446901159703)	(38, 0.05326445442435131)	(40, 0.057295110084661635)	(42, 0.06211985927342423)	(44, 0.06837941315051502)	(46, 0.07625433577008084)	(48, 0.0863367995677646)	(50, 0.09993346699991931)	(52, 0.11843254557960944)	(54, 0.14339115758023044)	(56, 0.17791772290166513)	(58, 0.22430132777874295)	(60, 0.2875375777095267)	(62, 0.3746121658856333)	(64, 0.4896702993565629)	(66, 0.6392763551875897)	(68, 0.8338525682460287)	(70, 1.0831591052006564)	(72, 1.3980356339471918)	(74, 1.7909352495748592)	(76, 2.2719093510978334)	(78, 2.8498579989914816)	(80, 3.534867540151427)	(82, 4.336870939104714)	(84, 5.259679456478122)	(86, 6.316551930183142)	(88, 7.50060945222147)	(90, 8.468384243724351)
SRR6995993 - polya	(1, 6.601266495691275e-05)	(2, 9.707744846604817e-05)	(3, 0.00015532391754567707)	(4, 0.00035724501035505726)	(5, 0.0020386264177870116)	(6, 0.009268954779538279)	(7, 0.01910872495605692)	(8, 0.026090535049735106)	(9, 0.03391886049403723)	(10, 0.04462844460881167)	(12, 0.05889688798435143)	(14, 0.07280614480056681)	(16, 0.0875405599287436)	(18, 0.10294675100030545)	(20, 0.1248746050598164)	(22, 0.14978273678723503)	(24, 0.1675964485807549)	(26, 0.17892150371880405)	(28, 0.19103482773839756)	(30, 0.2040160241472775)	(32, 0.21895624346620235)	(34, 0.23119576816880166)	(36, 0.24459828070402428)	(38, 0.2592492092265203)	(40, 0.27497187278008145)	(42, 0.29007324066345985)	(44, 0.30474164312667973)	(46, 0.3196507976620955)	(48, 0.3340920388959048)	(50, 0.3493467891478596)	(52, 0.36683626226350285)	(54, 0.3884476438410145)	(56, 0.40695060551864326)	(58, 0.45530294105061253)	(60, 0.6970199630841645)	(62, 0.9797327916049287)	(64, 6.6195306468456785)	(66, 6.6629999867198055)	(68, 6.698908934907396)	(70, 6.726556592230526)	(72, 6.746669098003723)	(74, 6.768226116210093)	(76, 6.790468501202634)	(78, 6.808736535454976)	(80, 6.825530934039602)	(82, 6.841795289755604)	(84, 6.857389811077189)	(86, 6.874834628566537)	(88, 6.894927718850041)	(90, 6.913075377066284)
SRR6995994 - illumina_universal_adapter	(1, 0.004091875667922525)	(2, 0.005898395244718107)	(3, 0.006159578797989757)	(4, 0.006453410295420364)	(5, 0.006888716217539782)	(6, 0.007443731268242039)	(7, 0.008172868687792063)	(8, 0.010610581851660802)	(9, 0.011154714254310073)	(10, 0.018239318136803594)	(12, 0.030629212945127514)	(14, 0.05643741280278247)	(16, 0.07271785429004869)	(18, 0.07895361162440934)	(20, 0.08463435390806774)	(22, 0.10285734807279186)	(24, 0.13507542763365527)	(26, 0.15145381295339833)	(28, 0.15795075384103063)	(30, 0.16397974086238457)	(32, 0.17342043804834945)	(34, 0.18203949530631391)	(36, 0.19416276523733966)	(38, 0.2075048917502998)	(40, 0.22595098020011012)	(42, 0.2519659503707718)	(44, 0.28946211423733315)	(46, 0.34080100642729194)	(48, 0.4059173310523303)	(50, 0.4893110630823577)	(52, 0.5919997301103284)	(54, 0.7244633222112671)	(56, 0.8851837099817824)	(58, 1.0814849155615338)	(60, 1.3091771194501214)	(62, 1.5671720568422471)	(64, 1.8637677468783123)	(66, 2.196085729148302)	(68, 2.5716731200769622)	(70, 2.9947741524049567)	(72, 3.4445920857030297)	(74, 3.9374128027824753)	(76, 4.478051875406739)	(78, 5.062226981566971)	(80, 5.675170367855269)	(82, 6.337662450728811)	(84, 7.0300056372116915)	(86, 7.75786434561549)	(88, 8.51173802418995)	(90, 9.097534644910077)
SRR6995994 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 9.794383247686893e-05)	(7, 0.00018500501690075244)	(8, 0.00028294884937762134)	(9, 0.0004353059221194175)	(10, 0.0005386910786227791)	(12, 0.0007400200676030096)	(14, 0.0008651705202123422)	(16, 0.001028410241007124)	(18, 0.0011481193695899636)	(20, 0.0013766549787026577)	(22, 0.0016269558839213227)	(24, 0.0017901956047161045)	(26, 0.0019099047332989442)	(28, 0.0020622618060407404)	(30, 0.0022200602028090294)	(32, 0.0024703611080276943)	(34, 0.0026336008288224758)	(36, 0.0028839017340411407)	(38, 0.003204939851604211)	(40, 0.0035042126730613103)	(42, 0.0038034854945184103)	(44, 0.004385707165353131)	(46, 0.005299849601803908)	(48, 0.005996339077194976)	(50, 0.009114217744375304)	(52, 0.02332151477754779)	(54, 0.04292116392097456)	(56, 0.052334654486806964)	(58, 0.19778668703898383)	(60, 1.209502945932828)	(62, 2.429366172812098)	(64, 28.598499935792375)	(66, 28.691367012952526)	(68, 28.710999310040112)	(70, 28.731872229005738)	(72, 28.749980955365906)	(74, 28.784533362934134)	(76, 28.819363278027716)	(78, 28.835997405576705)	(80, 28.846548132864072)	(82, 28.852767566226355)	(84, 28.858383012621694)	(86, 28.868857561372693)	(88, 28.88347839903188)	(90, 28.892222606742454)
SRR6995995 - illumina_universal_adapter	(1, 0.000960276213648989)	(2, 0.0014102485755421016)	(3, 0.001548508239810935)	(4, 0.0016968231523902292)	(5, 0.0019884253533935872)	(6, 0.002264944681931254)	(7, 0.0025892264399436093)	(8, 0.0034539777946432223)	(9, 0.0037154142507151984)	(10, 0.0059753313084912225)	(12, 0.009379032861582141)	(14, 0.01479127026468757)	(16, 0.01797501326098716)	(18, 0.019547402715535442)	(20, 0.021364888847651198)	(22, 0.03019465377027443)	(24, 0.048349404594811074)	(26, 0.05564574415008906)	(28, 0.05775231867113056)	(30, 0.05942651751482225)	(32, 0.06179704230401334)	(34, 0.06408712510672075)	(36, 0.06678570237204062)	(38, 0.07011901718695832)	(40, 0.07452698666505649)	(42, 0.07975068816234077)	(44, 0.08679438960381844)	(46, 0.09613194456611993)	(48, 0.10859039722278063)	(50, 0.12470518954633258)	(52, 0.1456728960857206)	(54, 0.17260587868528937)	(56, 0.20723615386651573)	(58, 0.253036553014625)	(60, 0.3119050042482167)	(62, 0.3865086621816405)	(64, 0.48254508188881107)	(66, 0.6014182274150764)	(68, 0.7497545073970303)	(70, 0.934815068020864)	(72, 1.1604812351344151)	(74, 1.4350699559964737)	(76, 1.7637885923258194)	(78, 2.1553047681660695)	(80, 2.614336908786907)	(82, 3.1563587844320926)	(84, 3.792051582619413)	(86, 4.532290054396631)	(88, 5.385954240927923)	(90, 6.1032139565036605)
SRR6995995 - polya	(1, 5.0276241552303094e-05)	(2, 7.541436232845464e-05)	(3, 0.00012569060388075773)	(4, 0.00025389501983913063)	(5, 0.0011261878107715893)	(6, 0.004708370021373184)	(7, 0.009565054955325662)	(8, 0.013127126669306337)	(9, 0.017463452503192478)	(10, 0.0236876512073676)	(12, 0.031915358137402)	(14, 0.04002365899374968)	(16, 0.04875664215138473)	(18, 0.05738278829572113)	(20, 0.07181081271519331)	(22, 0.08961991437905788)	(24, 0.10140466539891771)	(26, 0.10796320110941565)	(28, 0.11459463737016443)	(30, 0.12167478908676752)	(32, 0.1308451755459076)	(34, 0.1381792222823498)	(36, 0.14601603143431507)	(38, 0.1540388626800238)	(40, 0.16298049224010092)	(42, 0.17159281241801044)	(44, 0.18007315746184516)	(46, 0.1887206710088413)	(48, 0.1970124801468549)	(50, 0.20746993838973393)	(52, 0.22205130534594064)	(54, 0.23786444022017877)	(56, 0.2499973542127883)	(58, 0.3106443274912927)	(60, 0.62880998071881)	(62, 0.972236931514282)	(64, 8.6649179249155)	(66, 8.706219857350717)	(68, 8.728645574895122)	(70, 8.74833752180512)	(72, 8.763256996485765)	(74, 8.782385849490378)	(76, 8.801397810233382)	(78, 8.815040268378599)	(80, 8.826660364707376)	(82, 8.837297560513804)	(84, 8.848397297742514)	(86, 8.861662684076089)	(88, 8.878477573063257)	(90, 8.891054174887566)
SRR6995996 - illumina_universal_adapter	(1, 0.0008021691131727123)	(2, 0.0010865201047824424)	(3, 0.0012092400064245366)	(4, 0.0013409394130648325)	(5, 0.0015145431763634047)	(6, 0.0019186209012824948)	(7, 0.002346643972863457)	(8, 0.0028764347677573752)	(9, 0.0030769770460505534)	(10, 0.004712743539889685)	(12, 0.0069680958786047555)	(14, 0.01043867456040983)	(16, 0.01306817294071665)	(18, 0.014428567947944254)	(20, 0.016264876720076562)	(22, 0.022046181354752288)	(24, 0.03327056260250479)	(26, 0.03867023827475693)	(28, 0.040693620067685114)	(30, 0.04259877171147031)	(32, 0.044952898605165596)	(34, 0.0472022646072152)	(36, 0.04968360115505169)	(38, 0.05231160295119214)	(40, 0.055252390838103294)	(42, 0.05890405620403878)	(44, 0.06336687018814517)	(46, 0.06882491264288562)	(48, 0.07595014985895893)	(50, 0.0842861236656231)	(52, 0.094712825552702)	(54, 0.10825990542665609)	(56, 0.12511742947661397)	(58, 0.14734469751549667)	(60, 0.1760416989055839)	(62, 0.21360446489722926)	(64, 0.2627597718415534)	(66, 0.32575249598810685)	(68, 0.407049941073495)	(70, 0.5109652626651877)	(72, 0.6418759694498084)	(74, 0.8050051401679779)	(76, 1.0049906891512674)	(78, 1.2457491771630596)	(80, 1.5317494045241262)	(82, 1.8731337221299362)	(84, 2.271651636870973)	(86, 2.7331323440752358)	(88, 3.263758232933987)	(90, 3.7090563755473234)
SRR6995996 - polya	(1, 0.0003591801999280801)	(2, 0.00041605039825002617)	(3, 0.0005208112898957162)	(4, 0.0009189026781493384)	(5, 0.0035439113059570573)	(6, 0.015441755428574712)	(7, 0.028258502229341707)	(8, 0.038070108024043765)	(9, 0.0490251041218502)	(10, 0.06451475024374867)	(12, 0.08627957377522395)	(14, 0.10851432473493848)	(16, 0.13096009406211076)	(18, 0.1537560640842129)	(20, 0.1795616648648791)	(22, 0.2090353934373108)	(24, 0.2335314830724059)	(26, 0.252547081490265)	(28, 0.27227804713964754)	(30, 0.29263757813890423)	(32, 0.3201103736809032)	(34, 0.3429093368713381)	(36, 0.36685618011737653)	(38, 0.3919987941123421)	(40, 0.41897771687944)	(42, 0.44337503195955486)	(44, 0.4668280024306921)	(46, 0.4913166091449554)	(48, 0.5151766505093445)	(50, 0.5397176376694306)	(52, 0.567028802121462)	(54, 0.5963633483664215)	(56, 0.6254659240655942)	(58, 0.6888851746995622)	(60, 0.9318735731192411)	(62, 1.2210211169821776)	(64, 6.31807849128991)	(66, 6.370216490477803)	(68, 6.410301000789778)	(70, 6.447485130987332)	(72, 6.478067828427042)	(74, 6.509490109584084)	(76, 6.542720264414096)	(78, 6.571604338824979)	(80, 6.598758361939542)	(82, 6.624376889699413)	(84, 6.648995699236149)	(86, 6.674988373037612)	(88, 6.704997878741603)	(90, 6.731985781013699)
SRR6995997 - illumina_universal_adapter	(1, 0.0006579247322563759)	(2, 0.0007560363151367127)	(3, 0.0008656904371794421)	(4, 0.0009926583679657603)	(5, 0.00119465280330763)	(6, 0.0015063013606922292)	(7, 0.001996859275093913)	(8, 0.0031684270000767577)	(9, 0.003520474444529731)	(10, 0.006279141304341553)	(12, 0.011066409421943868)	(14, 0.019561718245464793)	(16, 0.023994053283823535)	(18, 0.025690806540695242)	(20, 0.02797334366005837)	(22, 0.039094580143023604)	(24, 0.06275389979113775)	(26, 0.07807373489442328)	(28, 0.08157978116500002)	(30, 0.08421148009402553)	(32, 0.08791952079994414)	(34, 0.0916881598364653)	(36, 0.09600506948320012)	(38, 0.10101164584488789)	(40, 0.10731675786234483)	(42, 0.11465492713483591)	(44, 0.12490758754583109)	(46, 0.13610673616814248)	(48, 0.14960862135335118)	(50, 0.16533244532732044)	(52, 0.18442091946712713)	(54, 0.20726071883471142)	(56, 0.23512729400751764)	(58, 0.2706090593927124)	(60, 0.31382721165150074)	(62, 0.3684436213331517)	(64, 0.4362675814513704)	(66, 0.5201760698923832)	(68, 0.6229883518466043)	(70, 0.7547810640028025)	(72, 0.9161630753017942)	(74, 1.111780257756442)	(76, 1.3524306567531645)	(78, 1.6404545221071367)	(80, 1.982289705036183)	(82, 2.3985944650061954)	(84, 2.8937318818205586)	(86, 3.4835614042883996)	(88, 4.181957164482914)	(90, 4.776210365084743)
SRR6995997 - polya	(1, 2.88563479059814e-05)	(2, 5.77126958119628e-05)	(3, 7.502650455555165e-05)	(4, 0.00013851046994871072)	(5, 0.00036936125319656193)	(6, 0.001321620734093948)	(7, 0.00259130004195713)	(8, 0.0037801815756835634)	(9, 0.004738212326162146)	(10, 0.0064897926440552174)	(12, 0.008991638007503806)	(14, 0.010639335472935343)	(16, 0.012867045531277106)	(18, 0.015550685886533376)	(20, 0.022176103365746706)	(22, 0.031516903182912885)	(24, 0.03699095238067755)	(26, 0.03927637513483129)	(28, 0.04145791503652348)	(30, 0.04331626384166869)	(32, 0.04568537000474976)	(34, 0.047913080063091515)	(36, 0.05028218622617259)	(38, 0.052573380249907514)	(40, 0.05526856314432618)	(42, 0.058044543812881585)	(44, 0.061452478500577994)	(46, 0.06478538668371885)	(48, 0.06774316234408193)	(50, 0.07201967310374838)	(52, 0.08046881177061974)	(54, 0.09171990181916188)	(56, 0.09908404180476835)	(58, 0.17134033696134576)	(60, 0.6283816032702322)	(62, 1.1692188182632979)	(64, 11.520937300350143)	(66, 11.556147816065021)	(68, 11.569470791893213)	(70, 11.58272451248643)	(72, 11.593118569002165)	(74, 11.609656141987083)	(76, 11.626459193372735)	(78, 11.635880790964038)	(80, 11.64297945254891)	(82, 11.648981572913353)	(84, 11.655217429695838)	(86, 11.664650569826302)	(88, 11.678109170489652)	(90, 11.68914672356369)
