CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	7335	2502	74.57	9837
2	7561	2442	75.59	10003
3	8126	2456	76.79	10582
4	8656	2689	76.30	11345
5	8117	2358	77.49	10475
6	9147	2384	79.33	11531
7	8964	2491	78.25	11455
8	8925	2559	77.72	11484
9	8644	2433	78.04	11077
10	9096	2476	78.60	11572
11	8728	2410	78.36	11138
12	8754	2481	77.92	11235
13	9438	2674	77.92	12112
14	8738	2417	78.33	11155
15	8816	2377	78.76	11193
16	9496	2714	77.77	12210
17	9253	2335	79.85	11588
18	9185	2392	79.34	11577
19	9243	2541	78.44	11784
20	9295	2601	78.14	11896
21	9206	2254	80.33	11460
22	9464	2481	79.23	11945
23	9207	2404	79.30	11611
24	9532	2464	79.46	11996
25	9364	2433	79.38	11797
26	9150	2306	79.87	11456
27	8937	2431	78.62	11368
28	9382	2480	79.09	11862
29	9111	2263	80.10	11374
30	8927	2302	79.50	11229
31	9159	2466	78.79	11625
32	9093	2323	79.65	11416
33	8827	2183	80.17	11010
34	9147	2389	79.29	11536
35	8944	2370	79.05	11314
36	8956	2245	79.96	11201
37	8985	2357	79.22	11342
38	8592	2202	79.60	10794
39	8848	2259	79.66	11107
40	8834	2241	79.77	11075
41	8388	2287	78.58	10675
42	8302	2227	78.85	10529
43	8487	2313	78.58	10800
44	8250	2185	79.06	10435
45	7921	2075	79.24	9996
46	8302	2234	78.80	10536
47	8025	2219	78.34	10244
48	8042	2037	79.79	10079
49	7802	2138	78.49	9940
50	7763	2127	78.49	9890
51	7513	1985	79.10	9498
52	7449	2099	78.02	9548
53	7321	2075	77.92	9396
54	7122	2017	77.93	9139
55	7234	2118	77.35	9352
56	6637	1906	77.69	8543
57	6923	1910	78.38	8833
58	6852	1925	78.07	8777
59	6662	1894	77.86	8556
60	6460	1844	77.79	8304
61	6649	1913	77.66	8562
62	6127	1830	77.00	7957
63	6091	1715	78.03	7806
64	6171	1743	77.98	7914
65	5962	1629	78.54	7591
66	5714	1594	78.19	7308
67	5576	1661	77.05	7237
68	5347	1507	78.01	6854
69	5262	1488	77.96	6750
70	5230	1536	77.30	6766
71	4996	1497	76.94	6493
72	4962	1361	78.48	6323
73	4728	1380	77.41	6108
74	4608	1347	77.38	5955
75	4555	1329	77.41	5884
76	4265	1312	76.47	5577
77	4018	1235	76.49	5253
78	3916	1172	76.97	5088
79	3751	1184	76.01	4935
80	3568	1100	76.44	4668
81	3510	1030	77.31	4540
82	3386	1041	76.49	4427
83	3089	1010	75.36	4099
84	2881	959	75.03	3840
85	2904	905	76.24	3809
86	2568	867	74.76	3435
87	2365	844	73.70	3209
88	2061	789	72.32	2850
89	878	313	73.72	1191

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	262	9899	2.58	10161
2	236	10265	2.25	10501
3	241	10583	2.23	10824
4	265	9924	2.60	10189
5	273	10327	2.58	10600
6	229	10428	2.15	10657
7	241	10337	2.28	10578
8	271	10624	2.49	10895
9	215	10508	2.01	10723
10	342	10347	3.20	10689
11	245	10703	2.24	10948
12	228	10758	2.08	10986
13	199	10565	1.85	10764
14	238	10798	2.16	11036
15	211	10604	1.95	10815
16	227	10381	2.14	10608
17	250	10682	2.29	10932
18	197	10395	1.86	10592
19	226	10652	2.08	10878
20	244	10627	2.24	10871
21	207	10312	1.97	10519
22	234	10264	2.23	10498
23	277	10532	2.56	10809
24	218	10760	1.99	10978
25	204	10307	1.94	10511
26	234	10537	2.17	10771
27	257	10704	2.34	10961
28	226	10367	2.13	10593
29	211	10812	1.91	11023
30	194	10443	1.82	10637
31	227	10433	2.13	10660
32	250	10586	2.31	10836
33	189	10498	1.77	10687
34	206	10223	1.98	10429
35	257	10680	2.35	10937
36	224	10385	2.11	10609
37	192	9865	1.91	10057
38	209	10327	1.98	10536
39	198	10256	1.89	10454
40	183	10076	1.78	10259
41	172	10148	1.67	10320
42	197	9997	1.93	10194
43	208	9759	2.09	9967
44	223	9995	2.18	10218
45	180	9888	1.79	10068
46	194	9643	1.97	9837
47	189	9864	1.88	10053
48	185	9843	1.84	10028
49	185	9274	1.96	9459
50	189	9539	1.94	9728
51	170	9605	1.74	9775
52	199	9103	2.14	9302
53	223	9171	2.37	9394
54	190	9039	2.06	9229
55	183	8966	2.00	9149
56	188	8924	2.06	9112
57	153	8614	1.75	8767
58	176	8457	2.04	8633
59	168	8406	1.96	8574
60	155	8244	1.85	8399
61	160	8080	1.94	8240
62	164	7877	2.04	8041
63	136	7799	1.71	7935
64	153	7516	2.00	7669
65	138	7556	1.79	7694
66	136	7261	1.84	7397
67	137	6974	1.93	7111
68	145	6949	2.04	7094
69	147	6763	2.13	6910
70	128	6318	1.99	6446
71	134	6278	2.09	6412
72	130	6022	2.11	6152
73	134	5790	2.26	5924
74	124	5748	2.11	5872
75	109	5521	1.94	5630
76	104	5356	1.90	5460
77	111	5097	2.13	5208
78	112	4816	2.27	4928
79	118	4648	2.48	4766
80	108	4526	2.33	4634
81	72	4209	1.68	4281
82	85	3989	2.09	4074
83	93	3991	2.28	4084
84	84	3817	2.15	3901
85	73	3360	2.13	3433
86	88	3353	2.56	3441
87	77	3009	2.50	3086
88	54	2487	2.13	2541
89	6	674	0.88	680

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	331	14312	2.26	14643
2	373	13702	2.65	14075
3	333	13759	2.36	14092
4	388	13942	2.71	14330
5	365	13602	2.61	13967
6	346	13595	2.48	13941
7	360	13869	2.53	14229
8	332	13705	2.37	14037
9	317	13956	2.22	14273
10	353	13831	2.49	14184
11	431	13325	3.13	13756
12	286	13718	2.04	14004
13	309	13780	2.19	14089
14	330	13181	2.44	13511
15	331	13754	2.35	14085
16	351	13839	2.47	14190
17	334	13333	2.44	13667
18	312	13603	2.24	13915
19	304	13747	2.16	14051
20	336	13349	2.46	13685
21	294	13414	2.14	13708
22	316	13715	2.25	14031
23	293	13434	2.13	13727
24	283	13746	2.02	14029
25	307	13577	2.21	13884
26	292	13027	2.19	13319
27	318	13423	2.31	13741
28	328	13499	2.37	13827
29	273	13228	2.02	13501
30	261	13262	1.93	13523
31	290	13414	2.12	13704
32	293	12912	2.22	13205
33	247	13110	1.85	13357
34	304	13271	2.24	13575
35	282	12845	2.15	13127
36	258	13158	1.92	13416
37	293	13240	2.17	13533
38	282	13050	2.12	13332
39	258	13185	1.92	13443
40	260	13165	1.94	13425
41	305	12901	2.31	13206
42	271	13124	2.02	13395
43	307	13171	2.28	13478
44	263	12761	2.02	13024
45	285	12855	2.17	13140
46	304	12981	2.29	13285
47	321	12350	2.53	12671
