CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	33869	16323	67.48	50192
2	34891	15617	69.08	50508
3	35886	15447	69.91	51333
4	38947	16493	70.25	55440
5	37583	17246	68.55	54829
6	39670	15222	72.27	54892
7	39448	15957	71.20	55405
8	40759	15686	72.21	56445
9	41498	15351	73.00	56849
10	41044	15766	72.25	56810
11	40592	15858	71.91	56450
12	41349	15761	72.40	57110
13	42040	17394	70.73	59434
14	41473	15901	72.29	57374
15	42271	16016	72.52	58287
16	44027	17810	71.20	61837
17	42657	16082	72.62	58739
18	43424	15552	73.63	58976
19	44245	16422	72.93	60667
20	43819	16361	72.81	60180
21	42604	15753	73.01	58357
22	43990	16427	72.81	60417
23	44274	16222	73.19	60496
24	44982	16196	73.53	61178
25	44774	16535	73.03	61309
26	44372	16260	73.18	60632
27	44540	15849	73.76	60389
28	45032	16264	73.47	61296
29	43936	15633	73.76	59569
30	44213	15639	73.87	59852
31	44550	16308	73.20	60858
32	44024	15908	73.46	59932
33	43459	15595	73.59	59054
34	45220	16107	73.74	61327
35	44293	15792	73.72	60085
36	44845	15982	73.73	60827
37	44953	15976	73.78	60929
38	43720	15802	73.45	59522
39	43952	15393	74.06	59345
40	44562	15720	73.92	60282
41	43576	15758	73.44	59334
42	43318	15396	73.78	58714
43	44086	15752	73.68	59838
44	43816	15378	74.02	59194
45	43093	15423	73.64	58516
46	43957	15970	73.35	59927
47	43573	15310	74.00	58883
48	43510	15442	73.81	58952
49	43182	15826	73.18	59008
50	42750	15563	73.31	58313
51	42156	15099	73.63	57255
52	42125	15512	73.09	57637
53	42091	15232	73.43	57323
54	42005	15061	73.61	57066
55	42650	15469	73.38	58119
56	41488	15169	73.23	56657
57	41440	14999	73.42	56439
58	41692	15361	73.08	57053
59	41158	15158	73.08	56316
60	41008	15063	73.14	56071
61	40875	15255	72.82	56130
62	39985	14909	72.84	54894
63	39823	14783	72.93	54606
64	39760	15010	72.59	54770
65	39037	14708	72.63	53745
66	39178	14178	73.43	53356
67	39123	14523	72.93	53646
68	38500	14320	72.89	52820
69	37957	14143	72.85	52100
70	37789	14506	72.26	52295
71	37258	14054	72.61	51312
72	36256	13797	72.44	50053
73	36546	13988	72.32	50534
74	35716	13742	72.21	49458
75	35257	13436	72.41	48693
76	34911	13748	71.75	48659
77	34245	13453	71.80	47698
78	33867	13190	71.97	47057
79	33441	13439	71.33	46880
80	32681	13013	71.52	45694
81	32141	12618	71.81	44759
82	31482	12836	71.04	44318
83	30313	12410	70.95	42723
84	29510	12053	71.00	41563
85	28935	12251	70.25	41186
86	27626	11586	70.45	39212
