CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	68496	70982	49.11	139478
2	69607	69442	50.06	139049
3	73005	69804	51.12	142809
4	78606	72997	51.85	151603
5	76412	75236	50.39	151648
6	79667	69880	53.27	149547
7	79820	70248	53.19	150068
8	81571	69746	53.91	151317
9	87100	67310	56.41	154410
10	82578	68805	54.55	151383
11	80889	68870	54.01	149759
12	82435	69907	54.11	152342
13	83808	77291	52.02	161099
14	82071	69991	53.97	152062
15	85188	71647	54.32	156835
16	89242	80282	52.64	169524
17	86875	71615	54.81	158490
18	87211	71689	54.88	158900
19	88861	74771	54.31	163632
20	87039	71829	54.79	158868
21	86230	69920	55.22	156150
22	88337	73074	54.73	161411
23	88390	73261	54.68	161651
24	88763	71898	55.25	160661
25	89334	73997	54.70	163331
26	88019	72542	54.82	160561
27	89258	73322	54.90	162580
28	90777	73899	55.12	164676
29	88664	72099	55.15	160763
30	88508	72042	55.13	160550
31	89225	74858	54.38	164083
32	87499	72802	54.58	160301
33	87016	70696	55.17	157712
34	90013	73201	55.15	163214
35	88221	72284	54.96	160505
36	88025	71091	55.32	159116
37	89117	72619	55.10	161736
38	87541	71900	54.90	159441
39	88062	71711	55.12	159773
40	88594	73086	54.80	161680
41	86977	71758	54.79	158735
42	86505	70657	55.04	157162
43	87420	72493	54.67	159913
44	86022	71526	54.60	157548
45	85644	70266	54.93	155910
46	86853	72541	54.49	159394
47	85664	70527	54.85	156191
48	84886	70211	54.73	155097
49	85646	71998	54.33	157644
50	83638	70714	54.19	154352
51	84113	68636	55.07	152749
52	84048	70919	54.24	154967
53	82791	70780	53.91	153571
54	82969	69924	54.27	152893
55	83124	70327	54.17	153451
56	81759	68380	54.46	150139
57	81720	68101	54.55	149821
58	81781	69254	54.15	151035
59	80592	68184	54.17	148776
60	80452	68733	53.93	149185
61	79748	69751	53.34	149499
62	77963	67889	53.45	145852
63	78222	67342	53.74	145564
64	78241	67558	53.66	145799
65	76961	67559	53.25	144520
66	77023	66158	53.79	143181
67	76497	67534	53.11	144031
68	75423	65447	53.54	140870
69	75022	65289	53.47	140311
70	74901	65761	53.25	140662
71	73312	64581	53.17	137893
72	72869	63474	53.45	136343
73	71641	64206	52.74	135847
74	70220	63901	52.36	134121
75	69713	62040	52.91	131753
76	68484	62992	52.09	131476
77	67546	61561	52.32	129107
78	66249	61796	51.74	128045
79	65537	61772	51.48	127309
80	64437	60355	51.64	124792
81	63045	59616	51.40	122661
82	61713	58672	51.26	120385
83	59610	57592	50.86	117202
84	58475	56512	50.85	114987
85	57364	55652	50.76	113016
86	54869	53560	50.60	108429
87	52371	52888	49.75	105259
88	47405	51314	48.02	98719
89	12791	14702	46.52	27493

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	4948	180064	2.67	185012
2	4012	185073	2.12	189085
3	3526	186493	1.86	190019
4	3638	179274	1.99	182912
5	3937	186012	2.07	189949
6	3498	193299	1.78	196797
7	3200	182665	1.72	185865
8	3599	186068	1.90	189667
9	4002	188257	2.08	192259
10	12661	186591	6.35	199252
11	3390	191351	1.74	194741
12	2417	191365	1.25	193782
13	2317	189991	1.20	192308
14	2563	200397	1.26	202960
15	2539	192570	1.30	195109
16	2524	190443	1.31	192967
17	2520	193128	1.29	195648
18	2383	192630	1.22	195013
19	2768	190017	1.44	192785
20	2482	195214	1.26	197696
21	2472	194530	1.25	197002
22	2583	199354	1.28	201937
23	2540	196414	1.28	198954
24	2459	197961	1.23	200420
25	2492	196099	1.25	198591
26	2538	197679	1.27	200217
27	2860	198194	1.42	201054
28	2610	193981	1.33	196591
29	2570	197188	1.29	199758
30	2490	194593	1.26	197083
31	2538	192037	1.30	194575
32	2619	196560	1.31	199179
33	2412	195519	1.22	197931
34	2409	192821	1.23	195230
35	2621	197740	1.31	200361
36	2387	196870	1.20	199257
37	2373	192010	1.22	194383
38	2552	195056	1.29	197608
39	2444	195205	1.24	197649
40	2426	191373	1.25	193799
41	2417	193237	1.24	195654
42	2306	190195	1.20	192501
43	2445	189258	1.28	191703
44	2464	192066	1.27	194530
45	2279	191580	1.18	193859
46	2368	188229	1.24	190597
47	2444	191903	1.26	194347
48	2291	190194	1.19	192485
49	2441	186989	1.29	189430
50	2561	189889	1.33	192450
51	2380	189725	1.24	192105
52	2397	186741	1.27	189138
53	2478	189876	1.29	192354
54	2411	187430	1.27	189841
55	2524	186168	1.34	188692
56	2456	187361	1.29	189817
57	2424	185687	1.29	188111
58	2455	182083	1.33	184538
59	2552	184870	1.36	187422
60	2351	182698	1.27	185049
61	2413	182949	1.30	185362
