CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
40	3001	426029	0.70	429030
41	2959	423744	0.69	426703
42	3061	427474	0.71	430535
43	3016	428545	0.70	431561
44	3029	421576	0.71	424605
45	2950	420184	0.70	423134
46	3145	419110	0.74	422255
47	3045	411159	0.74	414204
48	3197	417927	0.76	421124
49	3325	417533	0.79	420858
50	3176	414025	0.76	417201
51	3208	422446	0.75	425654
52	3529	418298	0.84	421827
53	3352	413929	0.80	417281
54	3324	420154	0.78	423478
55	3348	415717	0.80	419065
56	3489	411599	0.84	415088
57	3447	416232	0.82	419679
58	3584	417239	0.85	420823
59	3716	414990	0.89	418706
60	3640	417248	0.86	420888
61	3711	418048	0.88	421759
62	3794	412707	0.91	416501
63	3817	411064	0.92	414881
64	3846	409816	0.93	413662
65	3878	407914	0.94	411792
66	3916	408541	0.95	412457
67	4043	408107	0.98	412150
68	3964	403374	0.97	407338
69	4013	402807	0.99	406820
70	4119	406695	1.00	410814
71	4186	401767	1.03	405953
72	4123	403119	1.01	407242
73	4238	404423	1.04	408661
74	4341	398739	1.08	403080
75	4364	400070	1.08	404434
76	4369	399740	1.08	404109
77	4246	395533	1.06	399779
78	4274	393991	1.07	398265
79	4308	389279	1.09	393587
80	4309	382560	1.11	386869
81	4380	382186	1.13	386566
82	4428	379499	1.15	383927
83	4305	374406	1.14	378711
84	4457	374982	1.17	379439
85	4370	373205	1.16	377575
86	4446	367577	1.20	372023
87	4282	363832	1.16	368114
88	3867	350166	1.09	354033
89	1509	99147	1.50	100656

