run,sample,treatment,spots,bases
SRR6995995,NB11,control,39780221,4017802321
SRR6995997,NB3,control,17327210,1750048210
SRR6995998,NB6,control,24792684,2504061084
SRR6995993,HB16,oil,25752634,2601016034
SRR6995996,HB2,oil,33409414,3374350814
SRR6995994,HB30,oil,9188940,928082940
