CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	21264	5592	79.18	26856
2	24453	5627	81.29	30080
3	29185	5987	82.98	35172
4	26639	6550	80.26	33189
5	24256	6060	80.01	30316
6	31120	6366	83.02	37486
7	30958	6204	83.31	37162
8	26928	6378	80.85	33306
9	27648	5610	83.13	33258
10	33021	6684	83.17	39705
11	32301	6482	83.29	38783
12	29191	6316	82.21	35507
13	35824	7221	83.22	43045
14	34271	6339	84.39	40610
15	31441	5830	84.36	37271
16	48016	8369	85.16	56385
17	32935	6164	84.23	39099
18	38742	7084	84.54	45826
19	35106	7102	83.17	42208
20	32603	6787	82.77	39390
21	48777	8579	85.04	57356
22	34191	6843	83.32	41034
23	28177	5881	82.73	34058
24	35977	7061	83.59	43038
25	36904	6895	84.26	43799
26	31477	6246	83.44	37723
27	42111	8797	82.72	50908
28	33053	6450	83.67	39503
29	31917	5639	84.99	37556
30	29776	6133	82.92	35909
31	29273	6151	82.64	35424
32	30136	6211	82.91	36347
33	28679	5356	84.26	34035
34	27916	5669	83.12	33585
35	30438	6227	83.02	36665
36	30515	5771	84.10	36286
37	30306	6218	82.98	36524
38	28897	5976	82.86	34873
39	31370	6234	83.42	37604
40	30891	6420	82.79	37311
41	32167	7078	81.96	39245
42	29510	6596	81.73	36106
43	33178	7325	81.91	40503
44	37452	9364	80.00	46816
45	25511	5427	82.46	30938
46	30534	5638	84.41	36172
47	26632	5415	83.10	32047
48	24599	4826	83.60	29425
49	23999	5551	81.21	29550
50	27894	5415	83.74	33309
51	23212	4680	83.22	27892
52	25887	5256	83.12	31143
53	22816	4460	83.65	27276
54	22824	4853	82.47	27677
55	22587	5038	81.76	27625
56	20448	4273	82.72	24721
57	24352	4658	83.94	29010
58	23394	4781	83.03	28175
59	25013	5092	83.09	30105
60	22645	4725	82.74	27370
61	25549	5945	81.12	31494
62	22736	4820	82.51	27556
63	25477	4418	85.22	29895
64	25810	4951	83.90	30761
65	35873	5458	86.79	41331
66	19869	3929	83.49	23798
67	23404	5305	81.52	28709
68	23761	4407	84.35	28168
69	21135	4430	82.67	25565
70	33389	6755	83.17	40144
71	18615	4028	82.21	22643
72	18709	3478	84.32	22187
73	19280	4016	82.76	23296
74	18857	3861	83.00	22718
75	18807	3663	83.70	22470
76	27639	5467	83.49	33106
77	15857	2876	84.65	18733
78	13437	2988	81.81	16425
79	13633	2682	83.56	16315
80	11969	2670	81.76	14639
81	12959	2656	82.99	15615
82	12818	2703	82.58	15521
83	10624	2605	80.31	13229
84	10428	2278	82.07	12706
85	11889	2928	80.24	14817
86	10363	2214	82.40	12577
87	10107	2678	79.05	12785
88	10361	2627	79.77	12988
89	4560	818	84.79	5378

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	567	25323	2.19	25890
2	537	28341	1.86	28878
3	602	29558	2.00	30160
4	664	28076	2.31	28740
5	622	28652	2.12	29274
6	608	29530	2.02	30138
7	596	27530	2.12	28126
8	596	30814	1.90	31410
9	494	27477	1.77	27971
10	768	27171	2.75	27939
11	643	29157	2.16	29800
12	691	28602	2.36	29293
13	461	30312	1.50	30773
14	670	30250	2.17	30920
15	503	29137	1.70	29640
16	556	26665	2.04	27221
17	735	28288	2.53	29023
