CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	270746	184773	59.44	455519
2	272129	180293	60.15	452422
3	292640	179022	62.04	471662
4	329224	187872	63.67	517096
5	319347	210501	60.27	529848
6	336673	179529	65.22	516202
7	342295	185020	64.91	527315
8	336125	176837	65.53	512962
9	386020	171901	69.19	557921
10	361592	183402	66.35	544994
11	334098	174094	65.74	508192
12	340055	177020	65.77	517075
13	362766	220637	62.18	583403
14	342797	177804	65.85	520601
15	360990	183903	66.25	544893
16	396390	226679	63.62	623069
17	363252	180626	66.79	543878
18	373688	184456	66.95	558144
19	382890	193312	66.45	576202
20	365401	182408	66.70	547809
21	365977	179576	67.08	545553
22	387685	194978	66.54	582663
23	371049	188669	66.29	559718
24	380774	188830	66.85	569604
25	397707	200010	66.54	597717
26	374784	189175	66.46	563959
27	379751	192776	66.33	572527
28	391982	190643	67.28	582625
29	372163	180930	67.29	553093
30	381410	182910	67.59	564320
31	392748	192647	67.09	585395
32	368254	185225	66.53	553479
33	363512	179393	66.96	542905
34	385081	189066	67.07	574147
35	372557	185215	66.79	557772
36	376853	183774	67.22	560627
37	388590	196313	66.44	584903
38	365930	186540	66.24	552470
39	376241	182512	67.34	558753
40	393188	195780	66.76	588968
41	366719	185919	66.36	552638
42	364422	186211	66.18	550633
43	376944	191934	66.26	568878
44	362552	185962	66.10	548514
45	357054	180210	66.46	537264
46	380340	188831	66.82	569171
47	361501	182298	66.48	543799
48	361142	183159	66.35	544301
49	369030	192338	65.74	561368
50	357563	181435	66.34	538998
51	353540	180512	66.20	534052
52	362635	189453	65.68	552088
53	351132	184756	65.52	535888
54	346401	181845	65.58	528246
55	361547	188476	65.73	550023
56	343495	176519	66.05	520014
57	342634	178968	65.69	521602
58	344115	182908	65.29	527023
59	336473	179180	65.25	515653
60	334929	180249	65.01	515178
61	342166	184444	64.98	526610
62	332816	176706	65.32	509522
63	332296	175477	65.44	507773
64	334250	176367	65.46	510617
65	332621	176151	65.38	508772
66	329144	170074	65.93	499218
67	337743	182433	64.93	520176
68	320034	169705	65.35	489739
69	314247	171458	64.70	485705
70	331913	184736	64.24	516649
71	309482	169141	64.66	478623
72	305859	168097	64.53	473956
73	312588	171497	64.57	484085
74	299406	166994	64.20	466400
75	293566	161899	64.45	455465
76	302271	168413	64.22	470684
77	282217	159414	63.90	441631
78	286148	161632	63.90	447780
79	284197	165383	63.21	449580
80	270512	158999	62.98	429511
81	264875	155127	63.07	420002
82	267229	158504	62.77	425733
83	256519	150184	63.07	406703
84	249530	148184	62.74	397714
85	253635	151483	62.61	405118
86	229884	139374	62.26	369258
87	221928	139486	61.41	361414
88	204481	134735	60.28	339216
89	52597	37410	58.44	90007

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	14752	635648	2.27	650400
2	12609	651206	1.90	663815
3	11205	663049	1.66	674254
4	12037	609055	1.94	621092
5	13038	645983	1.98	659021
6	11381	711199	1.58	722580
7	11360	629691	1.77	641051
8	12760	650688	1.92	663448
9	14178	660891	2.10	675069
10	69721	646297	9.74	716018
11	15198	673278	2.21	688476
12	8334	671762	1.23	680096
13	8786	650751	1.33	659537
14	9879	721121	1.35	731000
15	8353	669839	1.23	678192
16	9532	654710	1.44	664242
17	9559	660654	1.43	670213
18	8463	662103	1.26	670566
19	10634	645921	1.62	656555
20	9490	671062	1.39	680552
21	8330	663353	1.24	671683
22	10389	703739	1.45	714128
23	10338	672281	1.51	682619
24	8318	691783	1.19	700101
25	9692	664233	1.44	673925
26	9688	682907	1.40	692595
27	10676	685001	1.53	695677
28	9767	667325	1.44	677092
29	9344	678565	1.36	687909
30	9015	665758	1.34	674773
31	10011	671437	1.47	681448
32	10069	681519	1.46	691588
33	8562	674824	1.25	683386
34	9710	653939	1.46	663649
35	10049	684460	1.45	694509
36	8213	677530	1.20	685743
37	9244	638905	1.43	648149
38	10106	679002	1.47	689108
39	8443	670939	1.24	679382
40	9041	649359	1.37	658400
41	9043	674317	1.32	683360
42	8264	655958	1.24	664222
43	8349	644489	1.28	652838
44	8746	656727	1.31	665473
45	7967	654280	1.20	662247
46	9060	657896	1.36	666956
47	9354	657063	1.40	666417
48	7889	655985	1.19	663874
49	9600	631213	1.50	640813
50	9851	653061	1.49	662912
51	7715	654812	1.16	662527
52	9670	627749	1.52	637419
53	9101	648569	1.38	657670
54	7818	648233	1.19	656051
55	8525	628026	1.34	636551
56	8635	651562	1.31	660197
57	8549	640427	1.32	648976
58	8977	620340	1.43	629317
59	8915	631787	1.39	640702
60	7797	631914	1.22	639711
61	8680	628792	1.36	637472
62	9149	627552	1.44	636701
63	7951	629807	1.25	637758
64	8292	611187	1.34	619479
65	8220	619721	1.31	627941
66	7881	615978	1.26	623859
67	7987	603154	1.31	611141
68	8434	608994	1.37	617428
69	7843	599381	1.29	607224
70	7841	586056	1.32	593897
71	8099	596855	1.34	604954
72	7542	590762	1.26	598304
73	8206	588964	1.37	597170
74	8271	584313	1.40	592584
75	7482	579476	1.27	586958
76	8201	573190	1.41	581391
77	8095	568698	1.40	576793
78	7909	558739	1.40	566648
79	7834	539545	1.43	547379
80	8280	553382	1.47	561662
81	7302	539165	1.34	546467
82	7681	523198	1.45	530879
83	7408	528091	1.38	535499
84	7073	523830	1.33	530903
85	7057	495061	1.41	502118
86	7058	493717	1.41	500775
87	6367	473516	1.33	479883
88	5473	438870	1.23	444343
89	1149	116329	0.98	117478

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	17569	1285322	1.35	1302891
2	18382	1215996	1.49	1234378
3	16030	1267029	1.25	1283059
4	18209	1256221	1.43	1274430
5	18122	1208612	1.48	1226734
6	17518	1220595	1.41	1238113
7	17634	1269870	1.37	1287504
8	15679	1181065	1.31	1196744
9	25953	1197555	2.12	1223508
10	26370	1201424	2.15	1227794
11	58336	1163357	4.78	1221693
12	13830	1211972	1.13	1225802
13	14729	1212882	1.20	1227611
14	13592	1144653	1.17	1158245
15	13398	1169518	1.13	1182916
16	14292	1190269	1.19	1204561
17	13300	1136379	1.16	1149679
18	12778	1212069	1.04	1224847
19	16127	1182620	1.35	1198747
20	13736	1112517	1.22	1126253
21	13272	1134950	1.16	1148222
22	15714	1162529	1.33	1178243
23	13060	1147404	1.13	1160464
24	12978	1180426	1.09	1193404
25	15202	1170167	1.28	1185369
26	13919	1124568	1.22	1138487
27	16456	1145198	1.42	1161654
28	15037	1171613	1.27	1186650
29	13986	1133867	1.22	1147853
30	12793	1154166	1.10	1166959
31	14768	1172090	1.24	1186858
32	14007	1115429	1.24	1129436
33	13333	1141507	1.15	1154840
34	14836	1172056	1.25	1186892
35	13479	1108020	1.20	1121499
36	12463	1136387	1.08	1148850
37	14107	1135032	1.23	1149139
38	13527	1115179	1.20	1128706
39	12918	1140119	1.12	1153037
40	13499	1153889	1.16	1167388
41	13278	1126095	1.17	1139373
42	12793	1149463	1.10	1162256
43	13753	1163352	1.17	1177105
44	12713	1122132	1.12	1134845
45	12210	1129959	1.07	1142169
46	13646	1148064	1.17	1161710
47	13749	1098254	1.24	1112003
48	13004	1123453	1.14	1136457
49	13859	1151113	1.19	1164972
50	13250	1092934	1.20	1106184
51	12969	1121937	1.14	1134906
52	14739	1130564	1.29	1145303
53	13816	1093437	1.25	1107253
54	12978	1132306	1.13	1145284
55	14088	1136132	1.22	1150220
56	13927	1108152	1.24	1122079
57	13950	1124796	1.23	1138746
58	13767	1136809	1.20	1150576
59	14511	1108577	1.29	1123088
60	13473	1132865	1.18	1146338
61	14353	1134975	1.25	1149328
62	14580	1092182	1.32	1106762
63	13987	1111329	1.24	1125316
64	14788	1121384	1.30	1136172
65	14331	1075041	1.32	1089372
66	13326	1093683	1.20	1107009
67	14641	1101601	1.31	1116242
68	14570	1070074	1.34	1084644
69	13412	1090720	1.21	1104132
70	14424	1098522	1.30	1112946
71	13294	1065087	1.23	1078381
72	13067	1075388	1.20	1088455
73	13740	1068961	1.27	1082701
74	14394	1041354	1.36	1055748
75	13181	1047312	1.24	1060493
76	13993	1058853	1.30	1072846
77	13394	1015639	1.30	1029033
78	12275	1019155	1.19	1031430
79	13702	1037191	1.30	1050893
80	13009	991504	1.30	1004513
81	12737	993901	1.27	1006638
82	13245	992317	1.32	1005562
83	12592	958998	1.30	971590
84	11831	958424	1.22	970255
85	12498	950956	1.30	963454
86	12345	920397	1.32	932742
87	11109	907010	1.21	918119
88	10351	850250	1.20	860601
89	2776	229224	1.20	232000

