CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	139306	47674	74.50	186980
2	143991	47749	75.10	191740
3	151019	47229	76.18	198248
4	167031	48578	77.47	215609
5	160870	51858	75.62	212728
6	177231	46181	79.33	223412
7	174424	47345	78.65	221769
8	171485	44241	79.49	215726
9	184845	44101	80.74	228946
10	182585	45606	80.01	228191
11	170262	43109	79.80	213371
12	178409	44691	79.97	223100
13	189288	54078	77.78	243366
14	184809	47946	79.40	232755
15	194954	47133	80.53	242087
16	216772	57456	79.05	274228
17	191783	46981	80.32	238764
18	201303	48438	80.60	249741
19	205472	52431	79.67	257903
20	194900	48515	80.07	243415
21	204768	51030	80.05	255798
22	210032	50892	80.50	260924
23	194710	45841	80.94	240551
24	207809	47558	81.38	255367
25	214565	49671	81.20	264236
26	199020	47633	80.69	246653
27	210899	48717	81.23	259616
28	201728	47383	80.98	249111
29	189607	45322	80.71	234929
30	198382	45841	81.23	244223
31	199940	47200	80.90	247140
32	190265	45378	80.74	235643
33	189761	44525	81.00	234286
34	201118	47561	80.87	248679
35	196535	46787	80.77	243322
36	199158	45871	81.28	245029
37	203958	48097	80.92	252055
38	191698	45199	80.92	236897
39	196545	45197	81.30	241742
40	198384	46911	80.88	245295
41	192550	46555	80.53	239105
42	193561	46736	80.55	240297
43	203083	48698	80.66	251781
44	200667	47909	80.73	248576
45	188394	44651	80.84	233045
46	208736	48923	81.01	257659
47	194533	44135	81.51	238668
48	191517	44616	81.11	236133
49	197326	47660	80.55	244986
50	190954	46117	80.55	237071
51	186248	44403	80.75	230651
52	194780	47242	80.48	242022
53	185962	43921	80.89	229883
54	182043	44554	80.34	226597
55	191981	46661	80.45	238642
56	185312	45265	80.37	230577
57	182380	45159	80.15	227539
58	186950	46766	79.99	233716
59	182643	47170	79.47	229813
60	182762	44964	80.26	227726
61	188795	48014	79.72	236809
62	183140	44188	80.56	227328
63	184900	43976	80.79	228876
64	186153	45958	80.20	232111
65	192488	46083	80.68	238571
66	180414	42048	81.10	222462
67	185671	47274	79.71	232945
68	177721	45024	79.79	222745
69	176395	44816	79.74	221211
70	188492	50794	78.77	239286
71	169277	43112	79.70	212389
72	167698	42826	79.66	210524
73	173426	45294	79.29	218720
74	167712	42582	79.75	210294
75	165473	41587	79.92	207060
76	186541	47137	79.83	233678
77	155583	42064	78.72	197647
78	157493	40836	79.41	198329
79	158535	42148	79.00	200683
80	146059	39755	78.60	185814
81	145353	39515	78.63	184868
82	143899	40050	78.23	183949
83	135777	38440	77.94	174217
84	133377	37128	78.22	170505
