CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	162767	129643	55.66	292410
2	163839	125329	56.66	289168
3	173632	122278	58.68	295910
4	196799	129683	60.28	326482
5	188428	152277	55.31	340705
6	196913	124074	61.35	320987
7	199831	125663	61.39	325494
8	199272	120560	62.31	319832
9	236656	118005	66.73	354661
10	208986	122410	63.06	331396
11	198230	119890	62.31	318120
12	201238	122415	62.18	323653
13	213316	155741	57.80	369057
14	206451	125758	62.14	332209
15	213244	127037	62.67	340281
16	228349	158657	59.00	387006
17	217118	127272	63.04	344390
18	220019	129813	62.89	349832
19	224493	133654	62.68	358147
20	218396	127326	63.17	345722
21	215648	124697	63.36	340345
22	225677	133027	62.91	358704
23	223316	132529	62.76	355845
24	226517	129914	63.55	356431
25	231828	135265	63.15	367093
26	227072	132764	63.10	359836
27	228974	132984	63.26	361958
28	236754	135331	63.63	372085
29	225875	130792	63.33	356667
30	227594	130315	63.59	357909
31	235837	136265	63.38	372102
32	222742	130564	63.05	353306
33	224192	127317	63.78	351509
34	232419	133306	63.55	365725
35	228350	131452	63.47	359802
36	228663	129807	63.79	358470
37	234728	135853	63.34	370581
38	223970	130741	63.14	354711
39	230494	131953	63.59	362447
40	234784	136770	63.19	371554
41	225229	131521	63.13	356750
42	224358	131111	63.12	355469
43	231262	135003	63.14	366265
44	224093	131618	63.00	355711
45	223663	128901	63.44	352564
46	231922	133863	63.40	365785
47	224216	129124	63.46	353340
48	223747	129791	63.29	353538
49	226718	133141	63.00	359859
50	220726	129080	63.10	349806
51	217402	128968	62.77	346370
52	221313	132551	62.54	353864
53	218158	130397	62.59	348555
54	215591	128866	62.59	344457
55	220129	131478	62.61	351607
56	214081	127172	62.73	341253
57	213125	128536	62.38	341661
58	215920	131082	62.22	347002
59	213803	128004	62.55	341807
60	211635	127903	62.33	339538
61	213762	132435	61.75	346197
62	209243	127212	62.19	336455
63	208413	126535	62.22	334948
64	209035	126194	62.36	335229
65	205016	125668	62.00	330684
66	205638	125464	62.11	331102
