CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	77011	148456	34.16	225467
2	75837	143674	34.55	219511
3	81260	141559	36.47	222819
4	93154	148260	38.59	241414
5	88485	187608	32.05	276093
6	90756	141859	39.02	232615
7	93208	145458	39.05	238666
8	93106	139989	39.94	233095
9	132899	135423	49.53	268322
10	98829	139803	41.41	238632
11	93517	137292	40.52	230809
12	92057	142818	39.19	234875
13	97062	199806	32.70	296868
14	93651	144269	39.36	237920
15	96853	147971	39.56	244824
16	103609	190173	35.27	293782
17	97331	145200	40.13	242531
18	101160	150295	40.23	251455
19	103069	152813	40.28	255882
20	98939	148620	39.97	247559
21	98738	145257	40.47	243995
22	102694	154047	40.00	256741
23	101661	161499	38.63	263160
24	104422	153368	40.51	257790
25	105714	161453	39.57	267167
26	102613	158385	39.32	260998
27	104257	159167	39.58	263424
28	108302	159581	40.43	267883
29	102257	163882	38.42	266139
30	104209	154473	40.28	258682
31	107236	161647	39.88	268883
32	101373	157496	39.16	258869
33	101190	152207	39.93	253397
34	106116	158031	40.17	264147
35	102638	156214	39.65	258852
36	104379	155825	40.11	260204
37	106715	162934	39.58	269649
38	101909	157037	39.36	258946
39	104434	154364	40.35	258798
40	105823	159308	39.91	265131
41	103290	167442	38.15	270732
42	101799	156714	39.38	258513
43	104923	161536	39.38	266459
44	100766	159607	38.70	260373
45	100191	155601	39.17	255792
46	104264	167100	38.42	271364
47	101212	156801	39.23	258013
48	100764	155973	39.25	256737
49	101874	170378	37.42	272252
50	98480	154654	38.90	253134
51	97661	154474	38.73	252135
52	99277	156952	38.75	256229
53	96933	158559	37.94	255492
54	95820	155839	38.08	251659
55	99405	153293	39.34	252698
56	95368	150582	38.78	245950
57	95055	153130	38.30	248185
58	97227	161722	37.55	258949
59	94849	150853	38.60	245702
60	93554	156779	37.37	250333
61	95487	156967	37.82	252454
62	92460	151743	37.86	244203
63	91990	149080	38.16	241070
64	92168	148687	38.27	240855
65	91098	148774	37.98	239872
66	91422	145340	38.61	236762
67	92257	152788	37.65	245045
68	90965	148962	37.91	239927
69	88623	148488	37.38	237111
70	90080	151535	37.28	241615
71	87674	145909	37.53	233583
72	85389	147530	36.66	232919
73	88643	156621	36.14	245264
74	86776	144632	37.50	231408
75	84852	140976	37.57	225828
76	84815	142364	37.33	227179
77	80987	150357	35.01	231344
78	82437	141004	36.89	223441
79	82523	143311	36.54	225834
80	80158	140109	36.39	220267
81	78965	141351	35.84	220316
82	78963	139402	36.16	218365
83	75771	136546	35.69	212317
84	73147	143815	33.71	216962
85	73459	133767	35.45	207226
86	70098	129022	35.20	199120
87	67897	127627	34.73	195524
88	62697	125901	33.24	188598
89	16431	34519	32.25	50950

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	8502	301597	2.74	310099
2	6442	319324	1.98	325766
3	5368	318669	1.66	324037
4	5937	291730	1.99	297667
5	6461	311603	2.03	318064
6	5732	371546	1.52	377278
7	4870	302895	1.58	307765
8	5683	303092	1.84	308775
9	7808	306012	2.49	313820
10	58092	300415	16.20	358507
11	8604	312489	2.68	321093
12	2894	314058	0.91	316952
13	2823	304319	0.92	307142
14	3064	368705	0.82	371769
15	2767	315386	0.87	318153
16	2925	302779	0.96	305704
17	3027	310912	0.96	313939
18	2796	323028	0.86	325824
19	3582	305291	1.16	308873
20	3011	319856	0.93	322867
21	3045	317546	0.95	320591
22	3527	362565	0.96	366092
23	3300	321063	1.02	324363
24	2956	334276	0.88	337232
25	3228	324976	0.98	328204
26	3333	328034	1.01	331367
27	3762	332215	1.12	335977
28	3110	321971	0.96	325081
29	3131	326758	0.95	329889
30	3092	333529	0.92	336621
31	3145	317892	0.98	321037
32	3326	329554	1.00	332880
33	2821	329958	0.85	332779
34	3272	319467	1.01	322739
35	3393	331692	1.01	335085
36	2817	331724	0.84	334541
37	3030	318168	0.94	321198
38	3194	328840	0.96	332034
39	2939	328724	0.89	331663
40	3031	322543	0.93	325574
41	3036	324549	0.93	327585
42	2948	321467	0.91	324415
43	2792	316896	0.87	319688
44	3039	321724	0.94	324763
45	2730	320685	0.84	323415
46	2932	316483	0.92	319415
47	3128	323167	0.96	326295
48	2843	324953	0.87	327796
49	3106	313261	0.98	316367
50	3081	321597	0.95	324678
51	2755	319312	0.86	322067
52	2936	312773	0.93	315709
53	2969	321038	0.92	324007
54	2665	316536	0.83	319201
55	2900	310533	0.93	313433
56	2831	319504	0.88	322335
57	2855	314302	0.90	317157
58	2855	304566	0.93	307421
59	3078	313401	0.97	316479
60	2893	310085	0.92	312978
61	2974	305213	0.96	308187
62	2985	321435	0.92	324420
63	2898	312524	0.92	315422
64	2923	306015	0.95	308938
65	2901	307222	0.94	310123
66	2805	309587	0.90	312392
67	2946	305124	0.96	308070
68	3044	302487	1.00	305531
69	2771	299554	0.92	302325
70	2824	297551	0.94	300375
71	3011	301927	0.99	304938
72	2882	298083	0.96	300965
73	2831	294803	0.95	297634
74	2933	298576	0.97	301509
75	2700	296276	0.90	298976
76	2913	286946	1.00	289859
77	2929	292303	0.99	295232
78	2893	297896	0.96	300789
79	3047	282162	1.07	285209
80	3166	282530	1.11	285696
81	2854	280901	1.01	283755
82	2958	279040	1.05	281998
83	3000	277936	1.07	280936
84	2701	273469	0.98	276170
85	3005	271382	1.10	274387
86	2860	267969	1.06	270829
87	2653	259420	1.01	262073
88	2475	246507	0.99	248982
89	595	66978	0.88	67573

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	9723	741984	1.29	751707
2	9852	719449	1.35	729301
3	8034	754100	1.05	762134
4	10143	708725	1.41	718868
5	10347	718287	1.42	728634
6	10301	725420	1.40	735721
7	9304	784946	1.17	794250
8	8123	708270	1.13	716393
9	18619	710883	2.55	729502
10	18044	705584	2.49	723628
11	58065	691505	7.75	749570
12	6084	713062	0.85	719146
13	5484	715423	0.76	720907
14	5164	682519	0.75	687683
15	5421	692459	0.78	697880
16	5410	697974	0.77	703384
17	5206	678596	0.76	683802
18	5076	736972	0.68	742048
19	6275	682240	0.91	688515
20	5068	665501	0.76	670569
21	5317	675011	0.78	680328
22	5836	688122	0.84	693958
23	4965	706790	0.70	711755
24	5259	722814	0.72	728073
25	5396	720315	0.74	725711
26	5490	690515	0.79	696005
27	7263	695410	1.03	702673
28	5694	700492	0.81	706186
29	5486	683212	0.80	688698
30	4969	684437	0.72	689406
31	5582	691377	0.80	696959
32	5153	687074	0.74	692227
33	5251	683103	0.76	688354
34	5292	692200	0.76	697492
35	5550	674474	0.82	680024
36	4877	681361	0.71	686238
37	5291	675645	0.78	680936
38	5229	666952	0.78	672181
39	5382	683031	0.78	688413
40	5284	688072	0.76	693356
41	5096	678733	0.75	683829
42	5122	687804	0.74	692926
43	4959	704037	0.70	708996
44	5141	677695	0.75	682836
45	4964	675963	0.73	680927
46	5428	675992	0.80	681420
47	5247	659432	0.79	664679
48	5206	673301	0.77	678507
49	5775	676597	0.85	682372
50	5322	660945	0.80	666267
51	5369	686180	0.78	691549
52	5858	684349	0.85	690207
53	5601	661161	0.84	666762
54	5358	675697	0.79	681055
55	5572	673082	0.82	678654
56	5755	661479	0.86	667234
57	5580	670506	0.83	676086
58	5971	673847	0.88	679818
59	6069	669246	0.90	675315
60	5848	675104	0.86	680952
61	5917	675658	0.87	681575
62	6082	661585	0.91	667667
63	6086	663483	0.91	669569
64	6169	661458	0.92	667627
65	6253	657343	0.94	663596
66	6001	658524	0.90	664525
67	6437	662179	0.96	668616
68	6384	650693	0.97	657077
69	6249	652175	0.95	658424
70	6347	659418	0.95	665765
71	6729	650094	1.02	656823
72	6354	654654	0.96	661008
73	6658	659069	1.00	665727
74	6882	644532	1.06	651414
75	6626	648125	1.01	654751
76	6620	648198	1.01	654818
77	6485	636110	1.01	642595
78	6438	635232	1.00	641670
79	6746	635243	1.05	641989
80	6474	619157	1.03	625631
81	6453	619130	1.03	625583
82	6725	616963	1.08	623688
83	6418	604840	1.05	611258
84	6592	608148	1.07	614740
85	6565	607871	1.07	614436
86	6690	598131	1.11	604821
87	6344	589588	1.06	595932
88	5702	565906	1.00	571608
89	1994	155528	1.27	157522

